SampleID	Dysbiosis_index
ERR2697571	-1.8359027715543927
ERR1075121	-1.3526888314328993
ERR2697900	-2.2102936644518913
ERR1074014	-1.591694669351592
ERR1458968	-1.8586840677552567
ERR2056808	-0.9993214248294525
ERR1075160	-1.6185205251447263
ERR1250594	-1.615316974240376
ERR1845958	-1.9508236577466378
ERR2524185	-2.311894817901793
ERR1079930	-1.9627003289799174
ERR2308714	-1.9441851743604062
ERR2032503	-1.782705269704407
ERR1074839	-1.7385644314989672
ERR1250000	-1.8827037896904113
ERR1389695	-1.9063898922238713
ERR1249711	-2.024831706353149
ERR1842683	-1.4286252431018167
ERR1075191	-1.4692903655445277
ERR2405151	-1.7736701210541441
ERR1073672	-0.7510611824795357
ERR1075541	-1.4249288570615986
ERR2304148	-1.5029485360230896
ERR2319588	-1.4417279533252707
ERR1846179	-1.6593697267558707
ERR2523973	-1.8820502474123904
ERR1080286	-2.2416703729236453
ERR2308840	-2.121436210924088
ERR1250104	-1.705060042477242
ERR1076812	-1.5243461510890213
ERR1842125	-2.0566614992608407
ERR1845973	-1.8672268518244395
ERR1074403	-0.9197704339515096
ERR2404904	-1.6401546791364177
ERR1090474	-1.7278834041591544
ERR1079964	-1.3686215148748115
ERR1459105	-1.4883870213740438
ERR2318284	-1.684565454738477
ERR1073548	-1.6042435566144029
ERR1091658	-2.062494400877807
ERR1389758	-1.7995705868080702
ERR1091268	-1.196758914724032
ERR2242138	-1.386860486941263
ERR1854751	-1.4429828891413599
ERR1459064	-2.037794547865181
ERR1091734	-1.8020377793128328
ERR1842268	-1.3492132821170721
ERR1459059	-1.6021347406052013
ERR1250647	-1.8167655483563443
ERR1390006	-1.5337227586830606
ERR2698046	-1.2202468497765047
ERR1597074	-1.754910573287139
ERR2579763	-2.366381637578586
ERR1074543	-1.8938088557683286
ERR1080075	-1.5012935619370718
ERR1091459	-1.8333793974467079
ERR1091733	-2.1372960089741473
ERR1080090	-1.5240844927147084
ERR2309315	-1.9875583282505398
ERR2057200	-1.978539623357699
ERR1080370	-1.627082197711473
ERR1250043	-1.496051078287536
ERR1842353	-1.8217542572952692
ERR2696489	-1.757364609900731
ERR1315993	-1.8348868049161555
ERR2314192	-1.608685468856184
ERR1458967	-1.4903346162350417
ERR2056864	-1.5666757775825026
ERR1249690	-1.324463077775646
ERR2579836	-2.1323736830126627
ERR2579509	-2.08668368704781
ERR2091988	-2.4049005248696993
ERR1843808	-1.8058580619345554
ERR1076643	-1.4384894561785173
ERR1845930	-1.9561961167422244
ERR1075143	-1.3547841603785813
ERR1074844	-1.7795731074348733
ERR2405370	-2.1594592205995924
ERR2303835	-1.933447467117685
ERR2032359	-1.8748209863519214
ERR1250546	-1.7296206081552383
ERR1080044	-1.90145462876931
ERR2309353	-1.5574451192811707
ERR1316065	-1.8591193675663338
ERR1074841	-1.361791955804132
ERR1073852	-1.1671218660340519
ERR1073747	-1.483177163684028
ERR2308874	-1.2745657265122214
ERR2057131	-2.3061313519704774
ERR2405278	-1.5739948918346416
ERR1316223	-1.7769292815913285
ERR2032531	-1.000150880588681
ERR2696534	-2.2016030339499966
ERR2308863	-2.1608266273106222
ERR1459056	-1.6144325820539718
ERR1316102	-1.535975686266274
ERR1678455	-1.6406826861087398
ERR1249828	-2.262864008523501
ERR2405300	-1.1132392730908112
ERR2092086	-1.2378271700892824
ERR2697960	-1.6206086587088429
ERR1842700	-1.6691736202171001
ERR1074063	-1.032830345277404
ERR2524145	-2.2665803780319678
ERR1077774	-0.7378339589712204
ERR1846025	-1.6258217975267997
ERR1091674	-1.3238818793246907
ERR1091503	-2.035531043841114
ERR1074607	-0.9499832670436865
ERR2032535	-2.365372017909175
ERR2696738	-1.7265479160847903
ERR1091410	-1.022354148196765
ERR1091468	-1.9137160208659065
ERR1076032	-2.0716577292401857
ERR1073784	-1.4707118543284732
ERR1678453	-2.113229950938242
ERR2308640	-1.8515237073926372
ERR1316241	-2.0973130958215616
ERR2303952	-2.0428159614078556
ERR2313969	-1.2840322107945814
ERR1075331	-1.262516966151671
ERR2318140	-2.268305841034206
ERR2308735	-1.9123054568350986
ERR1842333	-1.780674237292869
ERR2032322	-2.3260240382990918
ERR1080164	-2.19899294949831
ERR2579760	-1.3735157538562617
ERR1074402	-1.7939279102186574
ERR1075977	-2.119245703849663
ERR1080052	-1.9431724741271872
ERR2405377	-2.0666351219051347
ERR1249957	-2.0279419453087413
ERR1250636	-2.1639892462023314
ERR2405131	-1.6349774967220838
ERR2032588	-2.2336938978555203
ERR2309420	-2.1558882279978504
ERR2404971	-2.084734341485511
ERR2579894	-1.366974605642766
ERR1074544	-2.1091998983206355
ERR1249651	-1.7377678479167125
ERR1073842	-1.954852686066189
ERR1074074	-2.064722347095536
ERR1250010	-1.2339968337435419
ERR2524127	-1.8418961906699276
ERR2523926	-2.291781939139859
ERR2092260	-1.6868431854468262
ERR1074084	-1.4654785209593193
ERR1842613	-1.4234507852746119
ERR1249768	-2.0748494926069023
ERR1075073	-1.7656539504715583
ERR2579772	-1.763163598605052
ERR1842682	-2.091910077899338
ERR1073662	-1.5617489339367785
ERR1316250	-1.6635406839736493
ERR1073450	-2.2506315380641366
ERR1250460	-1.8821552174401948
ERR2309396	-1.94247040349515
ERR1073666	-1.627731455365398
ERR2698010	-2.1439387671800274
ERR1074789	-1.4667002105774185
ERR1842537	-1.8620097522834653
ERR1842529	-1.6409947631946675
ERR1075623	-2.1980267891248535
ERR2032245	-1.588106622007531
ERR2092146	-1.626227220406354
ERR1249907	-1.5121367772874854
ERR2092356	-2.2610380763066704
ERR1596991	-1.5319583961869812
ERR2523870	-1.940557411825224
ERR1074473	-1.5199329832031285
ERR1074526	-1.5158729355507135
ERR1846200	-1.981886771935378
ERR1075910	-1.4016780141403227
ERR2696492	-2.1616908890761897
ERR1075217	-1.610949295128696
ERR1080130	-1.5656342166226533
ERR1842431	-1.2329740749760518
ERR1091542	-1.9839469769622662
ERR2580063	-1.8471490130054309
ERR1846196	-1.663991623797866
ERR2696971	-1.7589583388548369
