SampleID	Dysbiosis_index
ERR2696505	-2.3683418686816338
ERR2092232	-1.6318093422329913
ERR1073923	-1.9907702986585325
ERR1842685	-2.119726594858918
ERR2304064	-2.3775880411715247
ERR2523942	-2.2663735203232775
ERR2405092	-1.9219008189744873
ERR2319366	-2.218843477052101
ERR1842532	-2.359060439696241
ERR1458714	-2.009845700112923
ERR2698005	-1.9401258873823546
ERR1091101	-2.246893719957472
ERR1459057	-2.2321917251317673
ERR2697741	-2.0464224534650883
ERR1842718	-1.8749463878768076
ERR2697636	-1.7310375938899916
ERR2308729	-2.1195990947289474
ERR1249955	-2.221260098029158
ERR2032155	-2.2872165372770907
ERR2580041	-2.200024569731933
ERR1074845	-1.4293194562179503
ERR2405382	-1.4626647915903908
ERR1854715	-2.073656360560221
ERR1458914	-2.3425498611046334
ERR1597005	-2.4228884021600683
ERR2314126	-1.7709328270495286
ERR2698930	-2.2073600066146613
ERR2318038	-1.6913297117173214
ERR2057179	-2.3518298979171344
ERR2314101	-1.8771547658468837
ERR1315795	-2.142184284423142
ERR2319368	-2.4352962275121723
ERR1075275	-1.6890213307857564
ERR2314198	-2.1687135717838024
ERR1843830	-2.0777217631199205
ERR1846147	-2.181920237159561
ERR2405025	-2.338617561857562
ERR2697696	-1.568240543433856
ERR1842868	-2.256202871036889
ERR1846161	-1.6384851451683868
ERR1842242	-2.1248841783402415
ERR1080109	-1.8635953935578258
ERR2579878	-1.6496195789638926
ERR2057086	-1.591600265108116
ERR2033290	-2.2951418735419615
ERR2319528	-2.5119872125208236
ERR2579839	-2.253769262455011
ERR2405303	-2.167286546571797
ERR2309331	-2.057576821524143
ERR1074240	-1.7771399192501744
ERR2308553	-2.033174567364874
ERR2092070	-1.6590497461558555
ERR2091933	-2.0102347286556226
ERR2318079	-1.7391358118260658
ERR1678441	-2.0935566837910327
ERR1075926	-2.318366097401934
ERR1080287	-2.2431607470648522
ERR2032932	-1.9702430755345586
ERR2523981	-1.9417441420973123
ERR2697706	-1.2816871340593117
ERR1073917	-2.074612995411779
ERR1842315	-2.081884335228282
ERR1074421	-2.1315060552581198
ERR2314202	-1.916053305228364
ERR1091651	-2.3849171145452948
ERR2579524	-2.256539611865127
ERR1091570	-2.501027814941823
ERR1597053	-2.0564765246419716
ERR2319381	-2.1140107800796355
ERR1845732	-1.991176394106977
ERR2314001	-2.1100488896978113
ERR2404897	-2.0759600287459774
ERR2318067	-2.09204970318085
ERR2580077	-1.9818114691641144
ERR2309369	-2.0580332720171297
ERR1080167	-1.9236553360247068
ERR2696686	-2.440232670312321
ERR2032184	-2.425496816062554
ERR1845961	-2.445632809708548
ERR1854725	-1.6874401258632685
