SampleID	Dysbiosis_index
ERR1385491	-1.6655870528966057
ERR1385206	-2.2724190609480144
ERR1383735	-1.7570135050895423
ERR1384980	-2.131345930072754
ERR1382783	-2.007021377719113
ERR1383280	-1.9061216164696546
ERR1384030	-1.7281561500386189
ERR1383239	-2.6113537902337254
ERR1385157	-2.3599053358286617
ERR1384875	-2.26857604519378
ERR1385006	-1.7297394656361331
ERR1385354	-2.479553355980987
ERR1385026	-2.3913074842189235
ERR1382515	-2.1895794398916646
ERR1385088	-1.265119867224008
ERR1383079	-2.0224160203032677
ERR1385259	-2.2718239047061832
ERR1385370	-1.5916989450179757
ERR1383900	-2.3198629838400877
ERR1384445	-1.6944959517873335
ERR1384095	-2.3546864957570843
ERR1382578	-2.505540727739039
ERR1383898	-2.34016995686657
ERR1385230	-2.392310638615061
ERR1383896	-2.333489830807419
ERR1383786	-2.137348623559727
ERR1383923	-1.9936949497364784
ERR1383619	-2.313227759138333
ERR1384901	-2.2518100979101736
ERR1382316	-1.8319127706473466
ERR1385390	-2.187159096222636
ERR1384943	-2.212127969735716
ERR1385203	-2.2893764711077007
ERR1384586	-1.984450348605873
ERR1382448	-2.0453249616121045
ERR1385260	-1.5899899847519217
ERR1384373	-2.297288051198159
ERR1385397	-2.276415783447326
ERR1385040	-2.194122760075612
ERR1383397	-2.0067518742591437
ERR1383339	-2.1710110380621184
