SampleID	Dysbiosis_index
ERR2697571	-6.357692617331034
ERR1075121	-2.5063059253840025
ERR2697900	-7.665683102168263
ERR1074014	-10.527598981629342
ERR1458968	-7.096412351543961
ERR2056808	-3.875821883194914
ERR1075160	-3.550914803847926
ERR1250594	-6.554094626008902
ERR1845958	-8.278823304497124
ERR2524185	-14.364131680523226
ERR1079930	-6.148204748091723
ERR2308714	-3.240818693609252
ERR2032503	-7.054910450300105
ERR1074839	-4.583536441716256
ERR1250000	-5.971796857792065
ERR1389695	-5.003177775348454
ERR1249711	-8.320205950103743
ERR1842683	-6.8663368174810175
ERR1075191	-5.148501472882328
ERR2405151	-6.29255981695971
ERR1073672	0.3889446091836636
ERR1075541	-2.8861260234787594
ERR2304148	-7.140617498674373
ERR2319588	-2.926412069909687
ERR1846179	-11.016911167288235
ERR2523973	-6.506672021516707
ERR1080286	-9.612622813103252
ERR2308840	-6.597990609711403
ERR1250104	-6.624122535362061
ERR1076812	-4.921719651940129
ERR1842125	-5.3085664078555155
ERR1845973	-4.635395922798757
ERR1074403	-0.5989219774523196
ERR2404904	-4.421958886544533
ERR1090474	-7.374862117315551
ERR1079964	-4.705722412635867
ERR1459105	-6.69021737188759
ERR2318284	-6.371543463554793
ERR1073548	-5.369024841385282
ERR1091658	-9.05989548863075
ERR1389758	-5.110283479637919
ERR1091268	-0.6061282321811245
ERR2242138	0.0
ERR1854751	-7.622209187395999
ERR1459064	-13.436933976570272
ERR1091734	-6.1837078945674975
ERR1842268	-3.5394746192727453
ERR1459059	-4.029598093293899
ERR1250647	-6.900454459983215
ERR1390006	-5.670031587486866
ERR2698046	-3.816440172835442
ERR1597074	-6.707350177735968
ERR2579763	-6.0571112419930175
ERR1074543	-6.22101367757119
ERR1080075	-4.796581534604017
ERR1091459	-6.372263603333205
ERR1091733	-6.965761320933943
ERR1080090	-5.465207908157649
ERR2309315	-7.08796969833337
ERR2057200	-8.67686716896691
ERR1080370	-6.572294193913541
ERR1250043	-4.905112876014968
ERR1842353	-6.4036508300565895
ERR2696489	-5.734310921793699
ERR1315993	-6.2948917247126674
ERR2314192	-5.824476068000694
ERR1458967	-3.422959632163855
ERR2056864	-4.50760241959109
ERR1249690	-3.569942525990388
ERR2579836	-7.72725401982548
ERR2579509	-8.441961903926163
ERR2091988	-8.510266816549255
ERR1843808	-6.825719941480772
ERR1076643	-5.480481692817257
ERR1845930	-6.7689151927104785
ERR1075143	-4.488926860189473
ERR1074844	-12.880739934051054
ERR2405370	-8.342824764105265
ERR2303835	-9.349894873629541
ERR2032359	-7.009068175529013
ERR1250546	-3.7046410446795393
ERR1080044	-14.44306881501516
ERR2309353	-4.794242300809107
ERR1316065	-6.054424083082625
ERR1074841	-4.72368147827549
ERR1073852	-2.3308045050398176
ERR1073747	-2.5301851160690467
ERR2308874	-2.189174875833703
ERR2057131	-13.526685296946773
ERR2405278	-3.0949753852020434
ERR1316223	-6.467931271810965
ERR2032531	3.7050327223002224
ERR2696534	-8.043178688425892
ERR2308863	-10.567226090210907
ERR1459056	-0.6465654078070633
ERR1316102	-11.716661826872052
ERR1678455	-5.503232050409813
ERR1249828	-6.749703192443737
ERR2405300	-0.4071944821464008
ERR2092086	-3.555519766847633
ERR2697960	-5.9323736301619325
ERR1842700	-12.690232197494682
ERR1074063	0.7325011015046098
ERR2524145	-10.209952241051166
ERR1077774	-2.1946651606069656
ERR1846025	-5.61645247296852
ERR1091674	-4.361113282401682
ERR1091503	-5.852325320365313
ERR1074607	-0.43449908633780177
ERR2032535	-11.31991627101218
ERR2696738	-7.764718712600118
ERR1091410	-3.820298106095313
ERR1091468	-7.177443348995014
ERR1076032	-8.075117783776424
ERR1073784	-3.872103959184268
ERR1678453	-10.02540789881418
ERR2308640	-7.046172055361596
ERR1316241	-13.898015339580683
ERR2303952	-6.560505218858663
ERR2313969	-1.8184141960958526
ERR1075331	-2.217104002556219
ERR2318140	-11.789219324460145
ERR2308735	-7.2961342427007745
ERR1842333	-4.175264620226331
ERR2032322	-9.175824384641814
ERR1080164	-14.711732366513512
ERR2579760	-4.808477661339767
ERR1074402	-7.517164576033933
ERR1075977	-8.71924339675478
ERR1080052	-7.218903731306367
ERR2405377	-6.715102306394054
ERR1249957	-9.467428970093358
ERR1250636	-8.070129116699636
ERR2405131	-3.9997773828884
ERR2032588	-8.217305052883173
ERR2309420	-10.171357113202399
ERR2404971	-8.622898137243395
ERR2579894	-4.122216729017027
ERR1074544	-8.662168822567661
ERR1249651	-5.254964112973793
ERR1073842	-6.456259744850074
ERR1074074	-6.657008433302595
ERR1250010	1.9394322999085067
ERR2524127	-14.315958156643248
ERR2523926	-9.529996105409849
ERR2092260	-5.954863333326836
ERR1074084	-4.221729799058215
ERR1842613	-4.031513183128616
ERR1249768	-7.5913807278564995
ERR1075073	-8.890826460893727
ERR2579772	-6.545244363400738
ERR1842682	-14.221101701465921
ERR1073662	-6.603401820300918
ERR1316250	-5.067067390292263
ERR1073450	-9.898167445517664
ERR1250460	-7.754063773682883
ERR2309396	-7.959125009414611
ERR1073666	-3.1577418185416026
ERR2698010	-8.588267760493382
ERR1074789	-4.725898108406086
ERR1842537	-7.055611820173947
ERR1842529	-3.78372264740854
ERR1075623	-8.142003310649642
ERR2032245	-6.726164380274531
ERR2092146	-6.680233540953765
ERR1249907	-3.8992520855782344
ERR2092356	-10.167780961967276
ERR1596991	-3.2343257840091777
ERR2523870	-10.330720219530521
ERR1074473	-5.596948890457463
ERR1074526	-6.874614137344413
ERR1846200	-6.147146534310331
ERR1075910	-4.2028225284489285
ERR2696492	-8.885107854823644
ERR1075217	-6.994037769400589
ERR1080130	-4.659637422930829
ERR1842431	-5.6234338019553
ERR1091542	-7.1939900899873885
ERR2580063	-6.343886697918299
ERR1846196	-12.353945079387262
ERR2696971	-7.035655826206771
ERR1316052	-2.1811660954392105
ERR1459072	-4.343978014673567
ERR2309197	-4.013984863763705
ERR2032754	-13.782293346768753
ERR1076022	-8.776506449054368
ERR2319424	-2.9885014807030643
ERR2404986	-9.539415171295767
ERR1389661	-3.8520363228067707
ERR1315981	-7.46790448046696
ERR2092016	-9.248035753413907
ERR1389972	-6.06270145130069
ERR2579403	-9.254731604875095
