SampleID	Dysbiosis_index
ERR2672868	-1.8035427098886267
ERR2672841	-8.700686386789068
ERR2672838	-6.5083126141123735
ERR2672877	-5.672958889149762
ERR2672843	-6.762082496356113
ERR2672875	-0.02530797704240481
ERR2672876	-3.1011835476772274
ERR2672837	-3.0530248125652095
ERR2672870	-6.568743117668551
ERR2672835	-5.043107977863506
ERR2672855	-6.8605510127635645
ERR2672848	-9.329238843620049
ERR2672859	-15.116714364355648
ERR2672826	-1.8050959488603664
ERR2672833	-3.4150490130723767
ERR2672845	-9.449237661256047
ERR2672823	-5.232494189694414
ERR2672828	-3.7252546984878805
ERR2672873	-14.80781306319805
ERR2672850	-5.630886361687692
ERR2672847	-15.133920811026417
ERR2672846	-10.752999290903773
ERR2672872	-13.941809503825352
ERR2672858	-4.770408524755259
ERR2672864	-4.443119279333836
ERR2672867	-14.130146651060631
ERR2672829	-3.1280427951799354
ERR2672857	-7.724549069268071
ERR2672856	-13.451085370087823
ERR2672836	-6.022927555312707
ERR2672822	-5.723999235224691
ERR2672851	-14.26072985593928
ERR2672869	-5.336633772814997
ERR2672866	-7.085316912931301
ERR2672874	-8.629659402708073
ERR2672840	-4.90274920833052
ERR2672860	-9.135106654353216
ERR2672861	-0.6070216980195253
ERR2672853	-7.776255256884906
ERR2672830	-6.751232434562888
ERR2672852	-6.5046043102628275
ERR2672824	-5.315377761455657
ERR2672871	-4.115244011795391
ERR2672862	-3.0255268440639096
ERR2672834	-8.786689050221808
ERR2672865	-10.205577854303076
ERR2672832	-7.1628541169115625
ERR2672854	-9.412925861624785
ERR2672827	-4.980843843434295
ERR2672863	-7.857077728025707
ERR2672879	-4.9659957549629095
ERR2672878	-5.495629557841858
ERR2672849	-9.880694533454564
ERR2672842	-4.850325550241101
ERR2672831	-4.969655702636076
ERR2672839	-5.5633545811217
ERR2672844	-7.39363368553638
ERR2672825	-7.691817318943552
