SampleID	Dysbiosis_index
ERR1383848	-8.279429411715949
ERR1382570	-3.232301108462586
ERR1384327	-3.585334716288676
ERR1383709	-1.7849972435993233
ERR1385115	-6.503759320126951
ERR1383789	-8.326515643079205
ERR1383199	-4.218614642005621
ERR1384142	-9.363481162536868
ERR1384435	-9.680275741328375
ERR1384728	-7.1174119006707235
ERR1384309	-8.330688063376927
ERR1384292	-5.156274537931517
ERR1385104	-8.427909977327502
ERR1383185	-9.785321492629494
ERR1383710	-4.439154395385785
ERR1384431	-9.211087858498527
ERR1383162	-9.250041031093662
ERR1385436	-4.8017083696672875
ERR1384778	-7.5631195216471765
ERR1385068	-7.677413724719122
ERR1385392	-8.625121477344381
ERR1382292	-6.192302566677884
ERR1382847	-1.9611782168668943
ERR1385512	-5.5651360812972515
ERR1385100	-10.178178720380936
ERR1382998	-6.311017379413183
ERR1384065	-9.36412317302978
ERR1384282	-4.494131312121339
ERR1384202	-7.626772162813954
ERR1383273	-7.618852057311492
ERR1384310	-3.4128238775426407
ERR1382750	-5.675911723917677
ERR1384995	-5.486029109432474
ERR1385506	-9.230605176727144
ERR1383781	-7.531651212025319
ERR1382624	-7.98842206088622
ERR1384690	-3.119639134697997
ERR1385025	-3.525017563643184
ERR1382555	-3.9048053792004858
ERR1384312	-5.9691620820947255
ERR1383255	-5.025193756091132
ERR1383434	-7.502700504937598
ERR1384605	-8.636180434579876
ERR1383651	-4.160659187862388
ERR1383314	-6.290378580795453
ERR1383593	-1.5137793564546729
ERR1384471	-5.799122380025445
ERR1383488	-8.240637517908564
ERR1385050	-6.844034415625074
ERR1383347	-7.91337225254768
ERR1385246	-1.784069652074985
ERR1384627	-6.991530784272725
ERR1383217	-6.46686382949833
ERR1382607	-7.818943675365549
ERR1383390	-5.401102873900831
ERR1384507	-5.098405448576727
ERR1383758	-7.836225966338964
ERR1383052	-8.079287615787523
ERR1384920	-5.113498034809291
ERR1383592	-7.46786419644379
ERR1383249	-5.192102114181969
ERR1385258	-4.069181546002615
ERR1384572	-2.9915296584263085
ERR1383476	-9.146540251941591
ERR1383509	-6.67564756695445
ERR1382359	-1.6518416623981504
ERR1383705	-6.414676763025307
ERR1385304	-9.924846739083995
ERR1383554	-7.611591165368729
ERR1382524	-3.21299522853989
ERR1383008	-6.654553449229969
ERR1385337	-7.093664161081493
ERR1384303	-7.5395965188479686
