SampleID	Dysbiosis_index
s021	-9.6010313173809
s002	-6.6935202644614336
s049	-4.4456555443544135
s041	-0.7795580771182552
s040	-5.888937349069014
s044	-8.893326334919141
s036	2.4423907088015153
s014	1.826093150607417
s006	-8.684858494034074
s045	-5.7555453502873135
s035	-8.342781161129139
s024	-9.049915976806302
s033	-4.574363593039158
s026	-0.2061015382819542
s010	-6.686551603134517
s017	-2.2489191187183257
s020	-2.735815616561624
s009	-4.4915721485341065
s019	-5.065799478662763
s007	-8.15792117156605
s039	-8.124986989357518
s013	-5.412744433211057
s032	-6.313317382861402
s034	-7.210513291232502
s008	-2.0465684890005353
s023	-5.148600631168623
s048	-5.599384526300988
s004	-9.629511988610314
s011	-5.194977867333702
s028	-5.578758712655989
s001	-7.1443887432476165
s015	-8.061689927620193
s047	-7.057816414534267
s016	-5.527851649761559
s042	-1.2529329799546223
s030	-3.7523637643075256
s003	-3.806634524187353
s043	-7.034041251444877
s025	-6.302661444037706
s005	-1.7728037532833099
s037	-6.759753816231017
s018	-4.806039526660379
s038	-2.391454148388693
s029	-2.8602601460269446
s012	-1.6666434999022688
s046	-5.721195269610686
s050	-1.2932875708715998
s031	-3.1645596816320554
s022	-5.299097412584432
s027	-5.945055626559199
